IP,HTTP,HTTPS,Status
100.64.17.107,OK (302),Erro de conexão,OK
100.64.17.108,OK (200),Erro de conexão,OK
100.64.17.109,Erro de conexão,OK (200),OK
100.64.17.11,Timeout,Timeout,Timeout
100.64.17.110,Timeout,Timeout,Timeout
100.64.17.112,OK (200),Erro de conexão,OK
100.64.17.114,OK (200),Erro de conexão,OK
100.64.17.118,Timeout,Timeout,Timeout
100.64.17.120,OK (200),Erro de conexão,OK
100.64.17.122,Timeout,Timeout,Timeout
100.64.17.124,Erro: ChunkedEncodingError,OK (200),OK
100.64.17.131,Timeout,Timeout,Timeout
100.64.17.132,OK (302),Erro de conexão,OK
100.64.17.136,Erro de conexão,Erro de conexão,Error
100.64.17.138,OK (200),Erro de conexão,OK
100.64.17.14,Erro de conexão,Erro de conexão,Error
100.64.17.141,OK (200),Erro de conexão,OK
100.64.17.145,Timeout,Timeout,Timeout
100.64.17.147,Timeout,Timeout,Timeout
100.64.17.148,Timeout,Timeout,Timeout
100.64.17.149,Timeout,Timeout,Timeout
100.64.17.150,Timeout,Timeout,Timeout
100.64.17.152,OK (200),Erro de conexão,OK
100.64.17.160,Timeout,Timeout,Timeout
100.64.17.161,Timeout,Timeout,Timeout
100.64.17.162,Timeout,Timeout,Timeout
100.64.17.163,Erro de conexão,OK (200),OK
100.64.17.167,Erro: ChunkedEncodingError,OK (200),OK
100.64.17.169,OK (200),Erro de conexão,OK
100.64.17.170,Timeout,Timeout,Timeout
100.64.17.177,OK (200),Erro de conexão,OK
100.64.17.179,Timeout,Timeout,Timeout
100.64.17.181,OK (200),Erro de conexão,OK
100.64.17.182,OK (200),Erro de conexão,OK
100.64.17.185,Timeout,Timeout,Timeout
100.64.17.186,OK (200),Erro de conexão,OK
100.64.17.189,Timeout,Timeout,Timeout
100.64.17.193,OK (200),Erro de conexão,OK
100.64.17.194,Timeout,Timeout,Timeout
100.64.17.195,Erro: ChunkedEncodingError,OK (200),OK
100.64.17.196,Erro de conexão,Erro de conexão,Error
100.64.17.198,Timeout,Timeout,Timeout
100.64.17.199,OK (200),Erro de conexão,OK
100.64.17.203,OK (200),Erro de conexão,OK
100.64.17.205,Timeout,Timeout,Timeout
100.64.17.206,Timeout,Timeout,Timeout
100.64.17.207,OK (200),Erro de conexão,OK
100.64.17.219,Erro de conexão,Erro de conexão,Error
100.64.17.222,Timeout,Timeout,Timeout
100.64.17.223,OK (200),Erro de conexão,OK
100.64.17.224,Timeout,Timeout,Timeout
100.64.17.226,Timeout,Timeout,Timeout
100.64.17.231,Timeout,Timeout,Timeout
100.64.17.232,Timeout,Timeout,Timeout
100.64.17.233,OK (200),Erro de conexão,OK
100.64.17.234,Timeout,Timeout,Timeout
100.64.17.236,Timeout,Timeout,Timeout
100.64.17.237,OK (200),Erro de conexão,OK
100.64.17.238,Timeout,Timeout,Timeout
100.64.17.239,OK (200),Erro de conexão,OK
100.64.17.240,Erro de conexão,OK (200),OK
100.64.17.242,Timeout,Timeout,Timeout
100.64.17.243,Timeout,Timeout,Timeout
100.64.17.245,OK (200),Erro de conexão,OK
100.64.17.249,Timeout,Timeout,Timeout
100.64.17.250,OK (200),Erro de conexão,OK
100.64.17.253,Timeout,Timeout,Timeout
100.64.17.255,OK (200),Erro de conexão,OK
100.64.17.27,Timeout,Timeout,Timeout
100.64.17.3,Timeout,Timeout,Timeout
100.64.17.30,Timeout,Timeout,Timeout
100.64.17.32,Timeout,Timeout,Timeout
100.64.17.36,OK (200),Erro de conexão,OK
100.64.17.38,OK (200),Erro de conexão,OK
100.64.17.42,OK (200),Erro de conexão,OK
100.64.17.44,Timeout,Timeout,Timeout
100.64.17.45,OK (200),Erro de conexão,OK
100.64.17.46,OK (200),Erro de conexão,OK
100.64.17.48,Timeout,Timeout,Timeout
100.64.17.52,Timeout,Timeout,Timeout
100.64.17.53,OK (200),Erro de conexão,OK
100.64.17.54,Timeout,Timeout,Timeout
100.64.17.55,Timeout,Timeout,Timeout
100.64.17.56,OK (200),Erro de conexão,OK
100.64.17.59,Timeout,Timeout,Timeout
100.64.17.6,OK (200),Erro de conexão,OK
100.64.17.62,Timeout,Timeout,Timeout
100.64.17.64,Timeout,Timeout,Timeout
100.64.17.66,OK (302),Erro de conexão,OK
100.64.17.68,OK (200),Erro de conexão,OK
100.64.17.70,OK (200),Erro de conexão,OK
100.64.17.75,Timeout,Timeout,Timeout
100.64.17.77,OK (302),Erro de conexão,OK
100.64.17.78,OK (200),Erro de conexão,OK
100.64.17.83,OK (200),Erro de conexão,OK
100.64.17.84,Timeout,Timeout,Timeout
100.64.17.85,Timeout,Timeout,Timeout
100.64.17.87,Timeout,Timeout,Timeout
100.64.17.88,Timeout,Timeout,Timeout
100.64.17.89,OK (200),Erro de conexão,OK
